"S"	"R2"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"
110	417	0	0	0	0	0	0	1	0	0	0	0	0
86.1	165.3	0	0	0	0	0	0	1	0	0	0	0	0
90.1	461.2	0	0	0	0	0	0	1	0	0	0	0	0
21.4	21.4	0	0	0	0	0	0	1	0	0	0	0	0
3.7	4.5	0	0	0	0	0	0	1	0	0	0	0	0
15.8	15.8	0	0	0	0	0	0	1	0	0	0	0	0
65.2	128.5	0	0	0	0	0	0	1	0	0	0	0	0
86.6	223.1	0	0	0	0	0	0	1	0	0	0	0	0
52.6	109.2	0	0	0	0	0	0	1	0	0	0	0	0
102.3	186.9	0	0	0	0	0	0	1	0	0	0	0	0
86.4	390.4	0	0	0	0	0	0	1	0	0	0	0	0
50.3	56.2	0	0	0	0	0	0	1	0	0	0	0	0
127.1	318.3	0	0	0	0	0	0	1	0	0	0	0	0
50	NA	0	0	0	0	0	0	1	0	0	0	0	0
156	390.8	0	0	0	0	0	0	1	0	0	0	0	0
94.5	223.8	0	0	0	0	0	0	1	0	0	0	0	0
140	213.8	0	0	0	0	0	0	1	0	0	0	0	0
102.3	151.5	0	0	0	0	0	0	1	0	0	0	0	0
94.8	218.6	0	0	0	0	0	0	1	0	0	0	0	0
22	25	0	0	0	0	0	0	1	0	0	0	0	0
33.9	75.2	0	0	0	0	0	0	1	0	0	0	0	0
59.3	69.5	0	0	0	0	0	0	1	0	0	0	0	0
77.4	133.5	0	0	0	0	0	0	1	0	0	0	0	0
170.1	330.9	0	0	0	0	0	0	1	0	0	0	0	0
99.2	209.8	0	0	0	0	0	0	1	0	0	0	0	0
109.3	173	0	0	0	0	0	0	1	0	0	0	0	0
95.4	223.7	0	0	0	0	0	0	1	0	0	0	0	0
46.2	62.4	0	0	0	0	0	0	1	0	0	0	0	0
74.9	78.5	0	0	0	0	0	0	1	0	0	0	0	0
203.37	NA	0	0	0	0	0	0	0	0	0	0	0	1
271.25	292.02	0	0	0	0	0	0	0	0	0	0	0	1
39.6	47.9	0	0	0	0	0	0	0	0	0	0	0	1
25.35	54.66	0	0	0	0	0	0	0	0	0	0	0	1
28.59	54.64	0	0	0	0	0	0	0	0	0	0	0	1
423.16	497.67	0	0	0	0	0	0	0	0	0	0	0	1
110.78	132.28	0	0	0	0	0	0	0	0	0	0	0	1
442.92	487.18	0	0	0	0	0	0	0	0	0	0	0	1
318.94	407.53	0	0	0	0	0	0	0	0	0	0	0	1
4.89	NA	0	0	0	0	1	0	0	0	0	0	0	0
6	6.04	0	0	0	0	1	0	0	0	0	0	0	0
14.02	33.19	0	0	0	0	1	0	0	0	0	0	0	0
15	30.5	0	0	0	0	1	0	0	0	0	0	0	0
30	126.11	0	0	0	0	1	0	0	0	0	0	0	0
26.1	27.42	0	0	0	0	1	0	0	0	0	0	0	0
48	48.61	0	0	0	0	1	0	0	0	0	0	0	0
30.7	31.26	0	0	0	0	1	0	0	0	0	0	0	0
30	126.58	0	0	0	0	1	0	0	0	0	0	0	0
41.4	42.97	0	0	0	0	1	0	0	0	0	0	0	0
297.75	NA	1	0	0	0	0	0	0	0	0	0	0	0
300.33	1220.63	1	0	0	0	0	0	0	0	0	0	0	0
386	1752.57	1	0	0	0	0	0	0	0	0	0	0	0
165.1	509.32	1	0	0	0	0	0	0	0	0	0	0	0
480.9	1232.09	1	0	0	0	0	0	0	0	0	0	0	0
477	1330.97	1	0	0	0	0	0	0	0	0	0	0	0
779.93	4218.87	1	0	0	0	0	0	0	0	0	0	0	0
878.43	4582.91	1	0	0	0	0	0	0	0	0	0	0	0
